feature,importance,exercise
right_hip_mean_x,0.22118907040309646,E1
left_knee_mean_x,0.2173470274439526,E1
right_elbow_mean_x,0.21035031912408303,E1
right_knee_mean_x,0.17907980949117552,E1
left_hip_mean_x,0.17611370564655682,E1
left_knee_var_y,0.17594546222266114,E1
left_thumb_mean_x,0.15686381648802683,E1
left_index_mean_x,0.1542004332265425,E1
right_hip_mean_y,0.15156585250870513,E1
left_wrist_mean_x,0.1456533275448205,E1
left_pinky_mean_x,0.14165640179106415,E1
left_heel_mean_x,0.13355057565739947,E1
right_knee_var_x,0.13195894671871325,E1
right_ankle_var_x,0.13105858197397421,E1
right_heel_var_x,0.12714733281716065,E1
left_shoulder_var_x,0.126706125566565,E1
right_knee_mean_y,0.12422363405785049,E1
left_heel_var_x,0.12061343734809864,E1
left_ankle_mean_x,0.11533054619548379,E1
right_heel_mean_x,0.11349460024106428,E1
left_heel_var_y,0.10988312933606205,E1
left_ankle_var_y,0.10778812218209481,E1
left_ankle_mean_y,0.10297419888829594,E1
left_hip_mean_y,0.09601605826525254,E1
left_heel_mean_y,0.09062153625625866,E1
right_wrist_mean_x,0.09026878955261808,E1
right_thumb_mean_x,0.08665405833926133,E1
right_ankle_mean_x,0.07963920638654488,E1
left_shoulder_var_y,0.07806338701603877,E1
left_shoulder_mean_y,0.07466023961428567,E1
left_index_var_x,0.07417838631706371,E1
right_foot_index_var_y,0.07191688460545438,E1
right_index_mean_x,0.07077255359196485,E1
left_knee_mean_y,0.07009377563170387,E1
left_pinky_var_x,0.06679248426401199,E1
right_hip_var_x,0.060604936597910636,E1
left_ear_mean_x,0.060000059673583156,E1
left_hip_var_x,0.05923048531793159,E1
left_elbow_mean_y,0.05920081564722588,E1
right_pinky_mean_x,0.05694987875504366,E1
nose_mean_x,0.05650687592992656,E1
right_foot_index_mean_y,0.05387103309063147,E1
left_elbow_mean_x,0.053557896631316874,E1
left_eye_inner_mean_x,0.05190375219689496,E1
left_eye_outer_mean_x,0.05063732896242641,E1
left_eye_mean_x,0.050606329433007254,E1
mouth_left_mean_x,0.04972756334866247,E1
right_foot_index_mean_x,0.04282391578079679,E1
mouth_left_var_x,0.04263752441680336,E1
left_elbow_var_x,0.04197994797718395,E1
left_hip_var_y,0.04088016575396508,E1
left_thumb_var_x,0.04020486096826448,E1
left_wrist_var_x,0.040130279233602024,E1
mouth_right_mean_x,0.03878338848239923,E1
left_index_var_y,0.03864188524040532,E1
left_ear_var_y,0.03839838631965782,E1
right_ankle_mean_y,0.03828993009114512,E1
right_eye_outer_mean_x,0.03783499627922775,E1
right_eye_mean_x,0.03635737136435972,E1
left_foot_index_mean_y,0.03548233173768172,E1
left_foot_index_var_y,0.03545101533163847,E1
right_eye_inner_mean_x,0.03518534651355356,E1
left_eye_outer_var_x,0.0351107501879657,E1
mouth_right_var_x,0.03485899702446936,E1
left_foot_index_var_x,0.03400569690290739,E1
right_shoulder_mean_y,0.033952733384859754,E1
nose_var_x,0.033503488424798236,E1
left_eye_var_x,0.033099259637821205,E1
left_ankle_var_x,0.03297153282136149,E1
right_hip_var_y,0.03286502511850792,E1
left_pinky_var_y,0.03226598623069741,E1
left_eye_inner_var_x,0.031867091290099035,E1
right_shoulder_var_x,0.030677409466887937,E1
right_ear_var_x,0.02818529877196959,E1
right_heel_mean_y,0.028023354698920373,E1
left_thumb_var_y,0.027666565608285683,E1
right_eye_var_x,0.027574048035874814,E1
right_eye_outer_var_x,0.027427257105361275,E1
right_eye_inner_var_x,0.027008059367998504,E1
left_knee_var_x,0.02656669987621487,E1
left_foot_index_mean_x,0.025642979263445893,E1
right_foot_index_var_x,0.02402312512823046,E1
left_wrist_var_y,0.021898620982751853,E1
left_wrist_mean_y,0.020078464777353835,E1
right_index_mean_y,0.02002822482092398,E1
right_pinky_mean_y,0.019874390404049865,E1
left_ear_var_x,0.019753927376571712,E1
left_ear_mean_y,0.01932476483694767,E1
right_eye_inner_mean_y,0.018668573165698615,E1
left_thumb_mean_y,0.018374492500847227,E1
mouth_right_mean_y,0.01685869531087001,E1
left_shoulder_mean_x,0.016739411009512182,E1
right_eye_mean_y,0.016013006346836937,E1
left_eye_outer_mean_y,0.015896727753633676,E1
right_eye_outer_mean_y,0.015261461893199515,E1
left_index_mean_y,0.015189957410380586,E1
right_wrist_mean_y,0.015163408489229884,E1
